positions,jockey,horse,bar,weight,time,margin,race_number
2,Matthew Cameron,Hoorah Henry,2,58.5,1.26.55,1.37L,1
3,Kelly Myers,I'll Be Home Soon,1,58.5,1.26.63,1.79L,1
4,Kate Hercock,Wyworry,11,54.0,1.26.64,1.86L,1
5,Craig Grylls,Elegant Elle,9,56.5,1.26.81,2.84L,1
6,Matt Cartwright,Wild At Heart,10,55.0,1.26.85,3.06L,1
7,Joe Doyle,Furiosa,7,57.0,1.27.00,3.92L,1
8,Rory Hutchings,Belles Boom,8,57.0,1.27.08,4.38L,1
9,Madan Singh,Dancing Shadow,5,55.0,1.27.15,4.76L,1
10,George Rooke,Teresa Mac,4,56.5,1.27.22,5.18L,1
11,Jim Chung (A),Clear Conscience (AUS),3,57.0,1.27.64,7.55L,1
2,Matt Cartwright,Oneira,3,54.0,1.03.60,2.63L,2
3,Kate Hercock,Miss Fladgate (AUS),5,54.0,1.04.16,6.02L,2
4,Liam Kauri (A),Idyllic (AUS),2,60.0,1.04.33,7.09L,2
2,Chris Dell,Quello Dolce,4,58.0,1.10.01,2.16L,3
3,Craig Grylls,Poppy's Girl,8,60.0,1.10.04,2.36L,3
4,Leah Hemi,The Big Picture,9,58.5,1.10.17,3.16L,3
5,Elen Nicholas (A),Dazz,3,56.5,1.10.24,3.55L,3
6,Liam Kauri (A),Fancypants,7,54.0,1.10.25,3.62L,3
7,Rory Hutchings,Flutterbelle,5,59.5,1.10.39,4.50L,3
8,Jim Chung (A),Albarossa (AUS),10,54.0,1.10.55,5.45L,3
9,Matthew Cameron,Littleredcorvette,6,58.0,1.10.57,5.60L,3
10,Daniel Stackhouse,Stipulator,2,59.0,1.10.95,7.87L,3
11,Amber Riddell (A),Eastandwest,1,54.0,1.12.31,16.12L,3
2,Elen Nicholas (A),Enterprise Gem,12,58.5,2.14.96,1.60L,4
3,Liam Kauri (A),Julianus,6,57.0,2.15.04,2.04L,4
4,Craig Grylls,Air Dancer,8,60.0,2.15.17,2.74L,4
5,Jim Chung (A),Sir Bruce,7,58.0,2.15.22,2.97L,4
6,Matt Cartwright,Kawatiri,5,56.5,2.15.38,3.86L,4
7,Joe Doyle,Protheatrics,14,58.0,2.15.41,4.02L,4
8,Corentin Berge,Lucan,3,56.5,2.15.49,4.48L,4
9,George Rooke,Cry Baby,16,58.5,2.15.60,5.07L,4
10,Samantha Collett,Vougeot,15,57.0,2.15.62,5.21L,4
11,Amber Riddell (A),Reliable Squeeze,4,56.5,2.15.67,5.48L,4
12,Masa Hashizume,Shes Wondering,13,57.0,2.15.73,5.77L,4
13,Rory Hutchings,Faultless,1,59.0,2.15.76,5.95L,4
14,Jonathan Riddell,Taupo Dancer (AUS),11,59.0,2.15.90,6.72L,4
15,Leah Hemi,Joan's Joker,10,57.5,2.15.97,7.10L,4
16,Ryan Elliot,Knickerless,9,60.0,2.16.35,9.18L,4
3,Joe Doyle,Latest Model,9,57.0,2.20.34,0.60L,5
4,Daniel Stackhouse,Gillian,14,59.5,2.20.41,0.95L,5
5,Amber Riddell (A),Star Ballot,7,57.0,2.20.42,0.96L,5
6,Kate Hercock,Be Real,5,54.5,2.20.44,1.12L,5
7,Craig Grylls,Manzor Blue,4,58.5,2.20.54,1.69L,5
